what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1358554039914
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1358554040458
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1358554040625
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1358554044963
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1358554045370
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1358554049307
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1358554049359
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1358554050525
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1358554053580
executed,command,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.commands.DebugLast",1358554055620
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1358554055912
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1358554061513
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1358554061575
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1358554075709
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1358554075750
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1358554076986
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1358554080133
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1358554085347
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1358554085458
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1358554091447
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1358554094783
executed,command,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.commands.DebugLast",1358554096065
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1358554096361
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1358554102554
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1358554102617
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1358554113634
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1358554113695
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1358554115356
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1358554456521
